date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jun%202020%2022:39:53%20GMT	https://themes.startbootstrap.com/robots.txt		(from )
22:39:54	88835/88835	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:28%20GMT	https://themes.startbootstrap.com/sb-admin-pro/	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/index.html	(from )
22:39:55	5222/5222	---M-Z	200	added ('OK')	text/css	etag:%2211221c4-1466-593dac20e876d-gzip%22	https://cdn.datatables.net/1.10.20/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/cdn.datatables.net/1.10.20/css/dataTables.bootstrap4.min.css	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:39:56	24796/24796	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Mar%202020%2000:57:15%20GMT	https://themes.startbootstrap.com/sb-admin-pro/assets/img/favicon.png	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/assets/img/favicon.png	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:39:57	417089/417089	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Mar%202020%2000:57:37%20GMT	https://themes.startbootstrap.com/sb-admin-pro/css/styles.css	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/css/styles.css	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:40:01	1137284/1137284	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d8920fb-115a84%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/js/all.min.js	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/js/all.min.js	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:40:01	72489/72489	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d5e2c15-11b29%22	https://cdnjs.cloudflare.com/ajax/libs/feather-icons/4.24.1/feather.min.js	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/cdnjs.cloudflare.com/ajax/libs/feather-icons/4.24.1/feather.min.js	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:40:03	88835/88835	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:28%20GMT	https://themes.startbootstrap.com/sb-admin-pro/index.html	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/index-2.html	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:40:04	36040/36040	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:24%20GMT	https://themes.startbootstrap.com/sb-admin-pro/dashboard-3.html	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/dashboard-3.html	(from https://themes.startbootstrap.com/sb-admin-pro/)
22:40:04	41151/41151	---M--	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2000:57:24%20GMT	https://themes.startbootstrap.com/sb-admin-pro/dashboard-2.html	C:/My%20Web%20Sites/BOOKING%20TEMPLATE/themes.startbootstrap.com/sb-admin-pro/dashboard-2.html	(from https://themes.startbootstrap.com/sb-admin-pro/)
